image_file,total_comments,valid_comment_count,rock_votes,paper_votes,scissors_votes,noise_count,ambiguous_count,majority_label,majority_votes,majority_ratio,final_label,review_reason,image_exists,image_width,image_height,image_mode
1770979439620.jpg,2,2,0,2,0,0,0,paper,2,1.0,paper,,True,1728,2350,RGB
1771209352574.jpg,3,3,0,1,2,0,0,scissors,2,0.6666666666666666,review,low_majority_ratio,True,1728,2959,RGB
1771209488178.jpg,4,4,4,0,0,0,0,rock,4,1.0,rock,,True,1596,2838,RGB
20260213_011422.jpg,10,10,0,0,10,0,0,scissors,10,1.0,scissors,,True,3264,1432,RGB
20260213_011425_HDR.jpg,10,10,10,0,0,0,0,rock,10,1.0,rock,,True,3264,1432,RGB
20260213_011433_HDR.jpg,8,8,0,8,0,0,0,paper,8,1.0,paper,,True,3264,1432,RGB
20260213_101835.jpg,8,8,8,0,0,0,0,rock,8,1.0,rock,,True,3000,4000,RGB
20260213_101842.jpg,6,6,0,0,6,0,0,scissors,6,1.0,scissors,,True,3000,4000,RGB
20260213_101846.jpg,8,7,0,7,0,1,0,paper,7,1.0,paper,,True,3000,4000,RGB
20260213_102032.jpg,4,4,0,0,4,0,0,scissors,4,1.0,scissors,,True,3000,4000,RGB
20260213_102035.jpg,3,3,0,3,0,0,0,paper,3,1.0,paper,,True,3000,4000,RGB
20260213_102038.jpg,5,5,5,0,0,0,0,rock,5,1.0,rock,,True,3000,4000,RGB
20260213_104323.jpg,2,2,2,0,0,0,0,rock,2,1.0,rock,,True,3000,4000,RGB
20260213_104339.jpg,2,2,0,2,0,0,0,paper,2,1.0,paper,,True,3000,4000,RGB
20260213_104341.jpg,2,2,0,0,2,0,0,scissors,2,1.0,scissors,,True,3000,4000,RGB
20260213_161151.jpg,4,4,4,0,0,0,0,rock,4,1.0,rock,,True,4080,1884,RGB
20260213_161200.jpg,3,3,0,0,3,0,0,scissors,3,1.0,scissors,,True,4080,1884,RGB
20260213_161207.jpg,2,2,0,2,0,0,0,paper,2,1.0,paper,,True,4080,1884,RGB
20260213_161234.heic,2,2,2,0,0,0,0,rock,2,1.0,rock,,True,2296,4080,RGB
20260213_161338.heic,1,1,0,1,0,0,0,paper,1,1.0,paper,,True,2296,4080,RGB
20260213_161351.heic,2,2,0,0,2,0,0,scissors,2,1.0,scissors,,True,2296,4080,RGB
20260213_161610.jpg,2,2,0,2,0,0,0,paper,2,1.0,paper,,True,1712,3712,RGB
20260213_161758.jpg,2,2,0,0,2,0,0,scissors,2,1.0,scissors,,True,2672,2971,RGB
20260213_164933.jpg,2,2,0,2,0,0,0,paper,2,1.0,paper,,True,3060,4080,RGB
20260213_184029.jpg,2,2,2,0,0,0,0,rock,2,1.0,rock,,True,4624,2032,RGB
20260213_184035.jpg,2,2,0,0,2,0,0,scissors,2,1.0,scissors,,True,4624,2032,RGB
20260213_184051.jpg,2,2,0,2,0,0,0,paper,2,1.0,paper,,True,4624,2032,RGB
20260213_184106_HDR.jpg,2,2,2,0,0,0,0,rock,2,1.0,rock,,True,3264,1432,RGB
20260213_184109_HDR.jpg,2,2,0,0,2,0,0,scissors,2,1.0,scissors,,True,3264,1432,RGB
20260213_184112_HDR.jpg,2,2,0,2,0,0,0,paper,2,1.0,paper,,True,3264,1432,RGB
